code,b11,b10,b9,b8,b7,b6,b5,b4,b3,b2,b1,b0,vout,DNL,INL,delay_ns
102,0,0,0,0,0,1,1,0,0,1,1,0,0.029790,-0.013181,-0.342825,100.0
103,0,0,0,0,0,1,1,0,0,1,1,1,0.030083,0.001016,-0.341809,100.0
104,0,0,0,0,0,1,1,0,1,0,0,0,0.030351,-0.084444,-0.426253,100.0
105,0,0,0,0,0,1,1,0,1,0,0,1,0.030645,0.001016,-0.425237,100.0
106,0,0,0,0,0,1,1,0,1,0,1,0,0.030934,-0.013181,-0.438418,100.0
107,0,0,0,0,0,1,1,0,1,0,1,1,0.031227,0.001016,-0.437403,100.0
108,0,0,0,0,0,1,1,0,1,1,0,0,0.031521,0.003055,-0.434348,100.0
109,0,0,0,0,0,1,1,0,1,1,0,1,0.031814,0.001016,-0.433332,100.0
110,0,0,0,0,0,1,1,0,1,1,1,0,0.032104,-0.013181,-0.446513,100.0
111,0,0,0,0,0,1,1,0,1,1,1,1,0.032397,0.001016,-0.445497,100.0
112,0,0,0,0,0,1,1,1,0,0,0,0,0.032739,0.166695,-0.278802,100.0
113,0,0,0,0,0,1,1,1,0,0,0,1,0.033032,0.001016,-0.277787,100.0
114,0,0,0,0,0,1,1,1,0,0,1,0,0.033321,-0.013181,-0.290968,100.0
115,0,0,0,0,0,1,1,1,0,0,1,1,0.033615,0.001016,-0.289952,100.0
116,0,0,0,0,0,1,1,1,0,1,0,0,0.033909,0.003055,-0.286897,100.0
117,0,0,0,0,0,1,1,1,0,1,0,1,0.034202,0.001016,-0.285882,100.0
118,0,0,0,0,0,1,1,1,0,1,1,0,0.034491,-0.013181,-0.299063,100.0
119,0,0,0,0,0,1,1,1,0,1,1,1,0.034784,0.001016,-0.298047,100.0
120,0,0,0,0,0,1,1,1,1,0,0,0,0.035053,-0.084444,-0.382491,100.0
121,0,0,0,0,0,1,1,1,1,0,0,1,0.035346,0.001016,-0.381475,100.0
122,0,0,0,0,0,1,1,1,1,0,1,0,0.035635,-0.013181,-0.394656,100.0
123,0,0,0,0,0,1,1,1,1,0,1,1,0.035929,0.001016,-0.393641,100.0
124,0,0,0,0,0,1,1,1,1,1,0,0,0.036223,0.003055,-0.390585,100.0
125,0,0,0,0,0,1,1,1,1,1,0,1,0.036516,0.001016,-0.389570,100.0
126,0,0,0,0,0,1,1,1,1,1,1,0,0.036805,-0.013181,-0.402751,100.0
127,0,0,0,0,0,1,1,1,1,1,1,1,0.037098,0.001016,-0.401735,100.0
128,0,0,0,0,1,0,0,0,0,0,0,0,0.037273,-0.403726,-0.805461,100.0
129,0,0,0,0,1,0,0,0,0,0,0,1,0.037566,0.001016,-0.804445,100.0
130,0,0,0,0,1,0,0,0,0,0,1,0,0.037856,-0.013181,-0.817626,100.0
131,0,0,0,0,1,0,0,0,0,0,1,1,0.038149,0.001016,-0.816611,100.0
132,0,0,0,0,1,0,0,0,0,1,0,0,0.038443,0.003055,-0.813556,100.0
133,0,0,0,0,1,0,0,0,0,1,0,1,0.038736,0.001016,-0.812540,100.0
134,0,0,0,0,1,0,0,0,0,1,1,0,0.039025,-0.013181,-0.825721,100.0
135,0,0,0,0,1,0,0,0,0,1,1,1,0.039319,0.001016,-0.824706,100.0
136,0,0,0,0,1,0,0,0,1,0,0,0,0.039587,-0.084444,-0.909149,100.0
137,0,0,0,0,1,0,0,0,1,0,0,1,0.039880,0.001016,-0.908134,100.0
138,0,0,0,0,1,0,0,0,1,0,1,0,0.040170,-0.013181,-0.921315,100.0
139,0,0,0,0,1,0,0,0,1,0,1,1,0.040463,0.001016,-0.920299,100.0
140,0,0,0,0,1,0,0,0,1,1,0,0,0.040757,0.003055,-0.917244,100.0
141,0,0,0,0,1,0,0,0,1,1,0,1,0.041050,0.001016,-0.916228,100.0
142,0,0,0,0,1,0,0,0,1,1,1,0,0.041339,-0.013181,-0.929409,100.0
143,0,0,0,0,1,0,0,0,1,1,1,1,0.041633,0.001016,-0.928394,100.0
144,0,0,0,0,1,0,0,1,0,0,0,0,0.041975,0.166695,-0.761699,100.0
145,0,0,0,0,1,0,0,1,0,0,0,1,0.042268,0.001016,-0.760683,100.0
146,0,0,0,0,1,0,0,1,0,0,1,0,0.042557,-0.013181,-0.773864,100.0
147,0,0,0,0,1,0,0,1,0,0,1,1,0.042850,0.001016,-0.772849,100.0
148,0,0,0,0,1,0,0,1,0,1,0,0,0.043144,0.003055,-0.769794,100.0
149,0,0,0,0,1,0,0,1,0,1,0,1,0.043438,0.001016,-0.768778,100.0
150,0,0,0,0,1,0,0,1,0,1,1,0,0.043727,-0.013181,-0.781959,100.0
151,0,0,0,0,1,0,0,1,0,1,1,1,0.044020,0.001016,-0.780944,100.0
152,0,0,0,0,1,0,0,1,1,0,0,0,0.044289,-0.084444,-0.865387,100.0
153,0,0,0,0,1,0,0,1,1,0,0,1,0.044582,0.001016,-0.864372,100.0
154,0,0,0,0,1,0,0,1,1,0,1,0,0.044871,-0.013181,-0.877553,100.0
155,0,0,0,0,1,0,0,1,1,0,1,1,0.045164,0.001016,-0.876537,100.0
156,0,0,0,0,1,0,0,1,1,1,0,0,0.045458,0.003055,-0.873482,100.0
157,0,0,0,0,1,0,0,1,1,1,0,1,0.045752,0.001016,-0.872466,100.0
158,0,0,0,0,1,0,0,1,1,1,1,0,0.046041,-0.013181,-0.885647,100.0
159,0,0,0,0,1,0,0,1,1,1,1,1,0.046334,0.001016,-0.884632,100.0
160,0,0,0,0,1,0,1,0,0,0,0,0,0.046582,-0.155466,-1.040098,100.0
161,0,0,0,0,1,0,1,0,0,0,0,1,0.046875,0.001016,-1.039082,100.0
162,0,0,0,0,1,0,1,0,0,0,1,0,0.047164,-0.013181,-1.052263,100.0
163,0,0,0,0,1,0,1,0,0,0,1,1,0.047458,0.001016,-1.051248,100.0
164,0,0,0,0,1,0,1,0,0,1,0,0,0.047751,0.003055,-1.048193,100.0
165,0,0,0,0,1,0,1,0,0,1,0,1,0.048045,0.001016,-1.047177,100.0
166,0,0,0,0,1,0,1,0,0,1,1,0,0.048334,-0.013181,-1.060358,100.0
167,0,0,0,0,1,0,1,0,0,1,1,1,0.048627,0.001016,-1.059343,100.0
168,0,0,0,0,1,0,1,0,1,0,0,0,0.048896,-0.084444,-1.143786,100.0
169,0,0,0,0,1,0,1,0,1,0,0,1,0.049189,0.001016,-1.142771,100.0
170,0,0,0,0,1,0,1,0,1,0,1,0,0.049478,-0.013181,-1.155952,100.0
171,0,0,0,0,1,0,1,0,1,0,1,1,0.049771,0.001016,-1.154936,100.0
172,0,0,0,0,1,0,1,0,1,1,0,0,0.050065,0.003055,-1.151881,100.0
173,0,0,0,0,1,0,1,0,1,1,0,1,0.050359,0.001016,-1.150866,100.0
174,0,0,0,0,1,0,1,0,1,1,1,0,0.050648,-0.013181,-1.164047,100.0
175,0,0,0,0,1,0,1,0,1,1,1,1,0.050941,0.001016,-1.163031,100.0
176,0,0,0,0,1,0,1,1,0,0,0,0,0.051283,0.166695,-0.996336,100.0
177,0,0,0,0,1,0,1,1,0,0,0,1,0.051576,0.001016,-0.995320,100.0
178,0,0,0,0,1,0,1,1,0,0,1,0,0.051866,-0.013181,-1.008501,100.0
179,0,0,0,0,1,0,1,1,0,0,1,1,0.052159,0.001016,-1.007486,100.0
180,0,0,0,0,1,0,1,1,0,1,0,0,0.052453,0.003055,-1.004431,100.0
181,0,0,0,0,1,0,1,1,0,1,0,1,0.052746,0.001016,-1.003415,100.0
182,0,0,0,0,1,0,1,1,0,1,1,0,0.053035,-0.013181,-1.016596,100.0
183,0,0,0,0,1,0,1,1,0,1,1,1,0.053329,0.001016,-1.015581,100.0
184,0,0,0,0,1,0,1,1,1,0,0,0,0.053597,-0.084444,-1.100024,100.0
185,0,0,0,0,1,0,1,1,1,0,0,1,0.053890,0.001016,-1.099009,100.0
186,0,0,0,0,1,0,1,1,1,0,1,0,0.054180,-0.013181,-1.112190,100.0
187,0,0,0,0,1,0,1,1,1,0,1,1,0.054473,0.001016,-1.111174,100.0
188,0,0,0,0,1,0,1,1,1,1,0,0,0.054767,0.003055,-1.108119,100.0
189,0,0,0,0,1,0,1,1,1,1,0,1,0.055060,0.001016,-1.107103,100.0
190,0,0,0,0,1,0,1,1,1,1,1,0,0.055349,-0.013181,-1.120284,100.0
191,0,0,0,0,1,0,1,1,1,1,1,1,0.055643,0.001016,-1.119269,100.0
192,0,0,0,0,1,1,0,0,0,0,0,0,0.056002,0.225881,-0.893388,100.0
193,0,0,0,0,1,1,0,0,0,0,0,1,0.056295,0.001016,-0.892373,100.0
194,0,0,0,0,1,1,0,0,0,0,1,0,0.056584,-0.013181,-0.905554,100.0
195,0,0,0,0,1,1,0,0,0,0,1,1,0.056878,0.001016,-0.904538,100.0
196,0,0,0,0,1,1,0,0,0,1,0,0,0.057172,0.003055,-0.901483,100.0
197,0,0,0,0,1,1,0,0,0,1,0,1,0.057465,0.001016,-0.900468,100.0
198,0,0,0,0,1,1,0,0,0,1,1,0,0.057754,-0.013181,-0.913649,100.0
199,0,0,0,0,1,1,0,0,0,1,1,1,0.058048,0.001016,-0.912633,100.0
200,0,0,0,0,1,1,0,0,1,0,0,0,0.058316,-0.084444,-0.997077,100.0
201,0,0,0,0,1,1,0,0,1,0,0,1,0.058609,0.001016,-0.996061,100.0
202,0,0,0,0,1,1,0,0,1,0,1,0,0.058898,-0.013181,-1.009242,100.0
203,0,0,0,0,1,1,0,0,1,0,1,1,0.059192,0.001016,-1.008226,100.0
204,0,0,0,0,1,1,0,0,1,1,0,0,0.059486,0.003055,-1.005171,100.0
205,0,0,0,0,1,1,0,0,1,1,0,1,0.059779,0.001016,-1.004156,100.0
206,0,0,0,0,1,1,0,0,1,1,1,0,0.060068,-0.013181,-1.017337,100.0
207,0,0,0,0,1,1,0,0,1,1,1,1,0.060362,0.001016,-1.016321,100.0
208,0,0,0,0,1,1,0,1,0,0,0,0,0.060703,0.166695,-0.849626,100.0
209,0,0,0,0,1,1,0,1,0,0,0,1,0.060997,0.001016,-0.848611,100.0
210,0,0,0,0,1,1,0,1,0,0,1,0,0.061286,-0.013181,-0.861792,100.0
211,0,0,0,0,1,1,0,1,0,0,1,1,0.061579,0.001016,-0.860776,100.0
212,0,0,0,0,1,1,0,1,0,1,0,0,0.061873,0.003055,-0.857721,100.0
213,0,0,0,0,1,1,0,1,0,1,0,1,0.062167,0.001016,-0.856705,100.0
214,0,0,0,0,1,1,0,1,0,1,1,0,0.062456,-0.013181,-0.869886,100.0
215,0,0,0,0,1,1,0,1,0,1,1,1,0.062749,0.001016,-0.868871,100.0
216,0,0,0,0,1,1,0,1,1,0,0,0,0.063017,-0.084444,-0.953314,100.0
217,0,0,0,0,1,1,0,1,1,0,0,1,0.063311,0.001016,-0.952299,100.0
218,0,0,0,0,1,1,0,1,1,0,1,0,0.063600,-0.013181,-0.965480,100.0
219,0,0,0,0,1,1,0,1,1,0,1,1,0.063893,0.001016,-0.964464,100.0
220,0,0,0,0,1,1,0,1,1,1,0,0,0.064187,0.003055,-0.961409,100.0
221,0,0,0,0,1,1,0,1,1,1,0,1,0.064480,0.001016,-0.960394,100.0
222,0,0,0,0,1,1,0,1,1,1,1,0,0.064770,-0.013181,-0.973575,100.0
223,0,0,0,0,1,1,0,1,1,1,1,1,0.065063,0.001016,-0.972559,100.0
224,0,0,0,0,1,1,1,0,0,0,0,0,0.065310,-0.155466,-1.128025,100.0
225,0,0,0,0,1,1,1,0,0,0,0,1,0.065604,0.001016,-1.127010,100.0
226,0,0,0,0,1,1,1,0,0,0,1,0,0.065893,-0.013181,-1.140191,100.0
227,0,0,0,0,1,1,1,0,0,0,1,1,0.066186,0.001016,-1.139175,100.0
228,0,0,0,0,1,1,1,0,0,1,0,0,0.066480,0.003055,-1.136120,100.0
229,0,0,0,0,1,1,1,0,0,1,0,1,0.066774,0.001016,-1.135105,100.0
230,0,0,0,0,1,1,1,0,0,1,1,0,0.067063,-0.013181,-1.148286,100.0
231,0,0,0,0,1,1,1,0,0,1,1,1,0.067356,0.001016,-1.147270,100.0
232,0,0,0,0,1,1,1,0,1,0,0,0,0.067624,-0.084444,-1.231714,100.0
233,0,0,0,0,1,1,1,0,1,0,0,1,0.067918,0.001016,-1.230698,100.0
234,0,0,0,0,1,1,1,0,1,0,1,0,0.068207,-0.013181,-1.243879,100.0
235,0,0,0,0,1,1,1,0,1,0,1,1,0.068500,0.001016,-1.242864,100.0
236,0,0,0,0,1,1,1,0,1,1,0,0,0.068794,0.003055,-1.239808,100.0
237,0,0,0,0,1,1,1,0,1,1,0,1,0.069088,0.001016,-1.238793,100.0
238,0,0,0,0,1,1,1,0,1,1,1,0,0.069377,-0.013181,-1.251974,100.0
239,0,0,0,0,1,1,1,0,1,1,1,1,0.069670,0.001016,-1.250958,100.0
240,0,0,0,0,1,1,1,1,0,0,0,0,0.070012,0.166695,-1.084263,100.0
241,0,0,0,0,1,1,1,1,0,0,0,1,0.070305,0.001016,-1.083248,100.0
242,0,0,0,0,1,1,1,1,0,0,1,0,0.070594,-0.013181,-1.096429,100.0
243,0,0,0,0,1,1,1,1,0,0,1,1,0.070888,0.001016,-1.095413,100.0
244,0,0,0,0,1,1,1,1,0,1,0,0,0.071182,0.003055,-1.092358,100.0
245,0,0,0,0,1,1,1,1,0,1,0,1,0.071475,0.001016,-1.091343,100.0
246,0,0,0,0,1,1,1,1,0,1,1,0,0.071764,-0.013181,-1.104524,100.0
247,0,0,0,0,1,1,1,1,0,1,1,1,0.072058,0.001016,-1.103508,100.0
248,0,0,0,0,1,1,1,1,1,0,0,0,0.072326,-0.084444,-1.187952,100.0
249,0,0,0,0,1,1,1,1,1,0,0,1,0.072619,0.001016,-1.186936,100.0
250,0,0,0,0,1,1,1,1,1,0,1,0,0.072908,-0.013181,-1.200117,100.0
251,0,0,0,0,1,1,1,1,1,0,1,1,0.073202,0.001016,-1.199101,100.0
252,0,0,0,0,1,1,1,1,1,1,0,0,0.073496,0.003055,-1.196046,100.0
253,0,0,0,0,1,1,1,1,1,1,0,1,0.073789,0.001016,-1.195031,100.0
254,0,0,0,0,1,1,1,1,1,1,1,0,0.074078,-0.013181,-1.208212,100.0
255,0,0,0,0,1,1,1,1,1,1,1,1,0.074372,0.001016,-1.207196,100.0
256,0,0,0,1,0,0,0,0,0,0,0,0,0.075158,1.684724,0.477528,100.0
257,0,0,0,1,0,0,0,0,0,0,0,1,0.075452,0.001016,0.478544,100.0
258,0,0,0,1,0,0,0,0,0,0,1,0,0.075741,-0.013181,0.465363,100.0
259,0,0,0,1,0,0,0,0,0,0,1,1,0.076034,0.001016,0.466378,100.0
260,0,0,0,1,0,0,0,0,0,1,0,0,0.076328,0.003055,0.469433,100.0
261,0,0,0,1,0,0,0,0,0,1,0,1,0.076621,0.001016,0.470449,100.0
262,0,0,0,1,0,0,0,0,0,1,1,0,0.076911,-0.013181,0.457268,100.0
263,0,0,0,1,0,0,0,0,0,1,1,1,0.077204,0.001016,0.458283,100.0
264,0,0,0,1,0,0,0,0,1,0,0,0,0.077472,-0.084444,0.373840,100.0
265,0,0,0,1,0,0,0,0,1,0,0,1,0.077766,0.001016,0.374855,100.0
266,0,0,0,1,0,0,0,0,1,0,1,0,0.078055,-0.013181,0.361674,100.0
267,0,0,0,1,0,0,0,0,1,0,1,1,0.078348,0.001016,0.362690,100.0
268,0,0,0,1,0,0,0,0,1,1,0,0,0.078642,0.003055,0.365745,100.0
269,0,0,0,1,0,0,0,0,1,1,0,1,0.078935,0.001016,0.366761,100.0
270,0,0,0,1,0,0,0,0,1,1,1,0,0.079224,-0.013181,0.353580,100.0
271,0,0,0,1,0,0,0,0,1,1,1,1,0.079518,0.001016,0.354595,100.0
272,0,0,0,1,0,0,0,1,0,0,0,0,0.079860,0.166695,0.521290,100.0
273,0,0,0,1,0,0,0,1,0,0,0,1,0.080153,0.001016,0.522306,100.0
274,0,0,0,1,0,0,0,1,0,0,1,0,0.080442,-0.013181,0.509125,100.0
275,0,0,0,1,0,0,0,1,0,0,1,1,0.080736,0.001016,0.510140,100.0
276,0,0,0,1,0,0,0,1,0,1,0,0,0.081030,0.003055,0.513195,100.0
277,0,0,0,1,0,0,0,1,0,1,0,1,0.081323,0.001016,0.514211,100.0
278,0,0,0,1,0,0,0,1,0,1,1,0,0.081612,-0.013181,0.501030,100.0
279,0,0,0,1,0,0,0,1,0,1,1,1,0.081905,0.001016,0.502046,100.0
280,0,0,0,1,0,0,0,1,1,0,0,0,0.082174,-0.084444,0.417602,100.0
281,0,0,0,1,0,0,0,1,1,0,0,1,0.082467,0.001016,0.418618,100.0
282,0,0,0,1,0,0,0,1,1,0,1,0,0.082756,-0.013181,0.405437,100.0
283,0,0,0,1,0,0,0,1,1,0,1,1,0.083050,0.001016,0.406452,100.0
284,0,0,0,1,0,0,0,1,1,1,0,0,0.083343,0.003055,0.409507,100.0
285,0,0,0,1,0,0,0,1,1,1,0,1,0.083637,0.001016,0.410523,100.0
286,0,0,0,1,0,0,0,1,1,1,1,0,0.083926,-0.013181,0.397342,100.0
287,0,0,0,1,0,0,0,1,1,1,1,1,0.084219,0.001016,0.398357,100.0
288,0,0,0,1,0,0,1,0,0,0,0,0,0.084467,-0.155466,0.242891,100.0
289,0,0,0,1,0,0,1,0,0,0,0,1,0.084760,0.001016,0.243907,100.0
290,0,0,0,1,0,0,1,0,0,0,1,0,0.085049,-0.013181,0.230726,100.0
291,0,0,0,1,0,0,1,0,0,0,1,1,0.085343,0.001016,0.231741,100.0
292,0,0,0,1,0,0,1,0,0,1,0,0,0.085637,0.003055,0.234796,100.0
293,0,0,0,1,0,0,1,0,0,1,0,1,0.085930,0.001016,0.235812,100.0
294,0,0,0,1,0,0,1,0,0,1,1,0,0.086219,-0.013181,0.222631,100.0
295,0,0,0,1,0,0,1,0,0,1,1,1,0.086512,0.001016,0.223646,100.0
296,0,0,0,1,0,0,1,0,1,0,0,0,0.086781,-0.084444,0.139203,100.0
297,0,0,0,1,0,0,1,0,1,0,0,1,0.087074,0.001016,0.140218,100.0
298,0,0,0,1,0,0,1,0,1,0,1,0,0.087363,-0.013181,0.127037,100.0
